"Feat_0.1","Feat_0.2","Feat_0.3","Feat_1.1","Feat_1.2","Feat_1.3","Feat_2.1","Feat_3.1","Feat_3.2","Feat_3.3","Feat_4.1","Feat_4.2","Feat_4.3","Feat_4.4","Feat_5.1","target"
1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,"1"
1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,"1"
1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,"1"
1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,"1"
1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,"1"
1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,"1"
1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,"1"
1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,"1"
1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,"1"
1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,"1"
1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,"0"
1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,"0"
1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,"0"
1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,"1"
1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,"0"
1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,"0"
1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,"0"
1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,"0"
1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,"0"
1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"0"
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,"0"
1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,"0"
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,"0"
1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,"0"
1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,"0"
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,"0"
1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,"0"
1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,"0"
1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,"0"
1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,"0"
1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,"1"
1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,"0"
1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,"0"
1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,"0"
1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,"0"
1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,"0"
1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,"1"
1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,"0"
1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,"0"
1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,"0"
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,"0"
1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,"1"
1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,"0"
1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,"0"
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,"0"
0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,"0"
0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,"0"
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,"1"
0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,"1"
0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,"0"
0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,"0"
0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,"0"
0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,"0"
0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,"0"
0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,"0"
0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,"0"
0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,"0"
0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,"0"
0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,"0"
0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,"0"
0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,"0"
0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,"1"
0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,"1"
0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,"1"
0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,"1"
0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,"1"
0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,"1"
0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,"1"
0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,"1"
0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,"1"
0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,"1"
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,"1"
0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,"1"
0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,"1"
0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,"1"
0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,"1"
0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,"1"
0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,"1"
0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,"0"
0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,"1"
0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,"0"
0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,"0"
0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,"0"
0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,"1"
0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,"1"
0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,"0"
0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,"0"
0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,"1"
0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,"1"
0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,"1"
0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,"0"
0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,"0"
0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,"1"
0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,"0"
0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,"0"
0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,"0"
0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,"0"
0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,"1"
0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,"0"
0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,"1"
0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,"0"
0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,"1"
0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,"1"
0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,"0"
0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,"1"
0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,"0"
0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,"0"
0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,"1"
0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,"1"
0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,"1"
0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,"1"
0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,"1"
0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,"1"
0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,"1"
0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,"1"
0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,"1"
0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,"1"
0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,"1"
0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,"1"
0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,"1"
0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,"1"
0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,"1"
0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,"1"
0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,"1"
